% Format of weather data in CARNOT.
%   station name:  Potsdam   country: Germany
%   geographical positon: longitude: 52.393800 , latitude: -13.065100
%   reference meridian for time (example: 0° = Greenwich Mean Time): -15.000000
% Data converted from Test Reference Year. Data converted from Test Reference Year. DWD local TRY 2016 
% Use the Carnot block "Weather_Datafile" to get the data in your model.
%
% col   description                                       units
% 1     time                                                s
% 2     timevalue (comment line) format YYYYMMDDHHMM        -
%       Y is the year, M the month, D the day, H the hour
% 3     zenith angle of sun (at time, not averaged)         degree
%       (continue at night to get time of sunrise by
%       linear interpolation)
% 4     azimuth angle of sun (0°=south, east negative)      degree
%       (at time, not average in timestep)
% 5     direct solar radiation on a normal surface          W/m^2
% 6     diffuse solar radiation on surface                  W/m^2
% 7     ambient temperature                                 degree centigrade
% 8     radiation temperature of sky                        degree centigrade
% 9     relative humidity                                   percent
% 10    precipitation                                       m/s
% 11    cloud index (0=no cloud, 1=covered sky)             -
% 12    station pressure                                    Pa
% 13    mean wind speed                                     m/s
% 14    wind direction (north=0° west=270°)                 degree
% 15    incidence angle on surface (0° = vertical)          degree
%       (= -9999, if surface orientation is unknown)
% 16    incidence angle in plane of vertical and main       degree
%       surface axis (the main axis is parallel to heat
%       collecting pipes in a collector, it is pointing
%       to the center of the earth)
% 17    incidence angle in plane of vertical and second     degree
%       surface axis (the second axis is in the surface
%       and a vertical on the heat collecting pipes in 
%       a collector, it is pointing to the horizon)
%
% 18    direct solar radiation on surface                   W/m^2
% 19    diffuse solar radiation on surface                  W/m^2
% UNKNOWN: set -9999 for unknown values
%
%   time        tvalue    zenith   azimuth   Ibn Idfuhor Tamb   Tsky   hum    prec  cloud   p      wspeed  wdir  incidence  tetal   tetat   Idirhor Idfuhor
  185400  200501030330    132.25   -108.58     0     0   -0.3   -5.0   90.0  -9999  0.875  101600    3.60  320.0    132.3  -9999.0  -9999.0     0     0
  189000  200501030430    123.31    -95.21     0     0   -0.9   -5.6   90.0  -9999  0.875  101700    3.50  310.0    123.3  -9999.0  -9999.0     0     0
  192600  200501030530    114.17    -83.37     0     0   -0.6   -7.7   92.0  -9999  0.750  101800    3.80  310.0    114.2  -9999.0  -9999.0     0     0
  196200  200501030630    105.24    -72.17     0     0   -0.2   -7.2   94.0  -9999  0.750  101800    3.40  330.0    105.2  -9999.0  -9999.0     0     0
  199800  200501030730     96.85    -60.97     0     0   -0.1   -4.7   95.0  -9999  0.875  102000    2.50  350.0     96.9  -9999.0  -9999.0     0     0
  203400  200501030830     89.35    -49.35   352     8   -0.1   -7.1   95.0  -9999  0.750  102100    3.20  340.0     89.3  -9999.0  -9999.0     4     8
  207000  200501030930     83.09    -37.01   681    16   -1.5  -16.4   93.0  -9999  0.375  102200    2.90  350.0     83.1  -9999.0  -9999.0    82    16
  210600  200501031030     78.45    -23.82   634    26   -1.8  -22.4   91.0  -9999  0.125  102400    2.70  340.0     78.5  -9999.0  -9999.0   127    26
  214200  200501031130     75.79     -9.92   538    49   -1.0  -24.5   87.0  -9999  0.000  102500    3.10  360.0     75.8  -9999.0  -9999.0   132    49
  217800  200501031230     75.34      4.34   636    41    0.4  -23.2   79.0  -9999  0.000  102500    1.20   11.0     75.3  -9999.0  -9999.0   161    41
  221400  200501031330     77.15     18.44   409    63   -0.3  -24.3   76.0  -9999  0.000  102600    2.30  357.0     77.1  -9999.0  -9999.0    91    63
